employee_id,employee_number,employee_name,org_path,department,job_code,job_title,job_family,employment_status,home_org_path,hourly_rate
E100000,100000,Susan Sullivan,HHS/TX/FacilityA/Nursing,Nursing,RN,Registered Nurse,Nursing,PRN,HHS/TX/FacilityA/Nursing,32.99
E100001,100001,Linda Larson,HHS/TX/FacilityA/Nursing,Nursing,RN,Registered Nurse,Nursing,PT,HHS/TX/FacilityA/Nursing,52.74
E100002,100002,Heather Khan,HHS/TX/FacilityA/Nursing,Nursing,RN,Registered Nurse,Nursing,PT,HHS/TX/FacilityA/Nursing,33.2
E100003,100003,Jason Lloyd,HHS/TX/FacilityA/Nursing,Nursing,RN,Registered Nurse,Nursing,PT,HHS/TX/FacilityA/Nursing,47.13
E100004,100004,Jeffrey Anderson,HHS/TX/FacilityA/Nursing,Nursing,PCT,Patient Care Tech,Nursing,FT,HHS/TX/FacilityA/Nursing,40.71
E100005,100005,James Tapia,HHS/TX/FacilityA/Nursing,Nursing,RN,Registered Nurse,Nursing,PT,HHS/TX/FacilityA/Nursing,28.33
E100006,100006,Christopher Wiley,HHS/TX/FacilityA/Nursing,Nursing,PCT,Patient Care Tech,Nursing,FT,HHS/TX/FacilityA/Nursing,33.03
E100007,100007,Joan Rodriguez,HHS/TX/FacilityA/Nursing,Nursing,PCT,Patient Care Tech,Nursing,PT,HHS/TX/FacilityA/Nursing,36.85
E100008,100008,Angela Myers,HHS/TX/FacilityA/Nursing,Nursing,PCT,Patient Care Tech,Nursing,PT,HHS/TX/FacilityA/Nursing,21.99
E100009,100009,Crystal White,HHS/TX/FacilityA/Nursing,Nursing,RN,Registered Nurse,Nursing,PT,HHS/TX/FacilityA/Nursing,47.7
E100010,100010,Daniel Jackson,HHS/TX/FacilityA/Nursing,Nursing,RN,Registered Nurse,Nursing,FT,HHS/TX/FacilityA/Nursing,33.57
E100011,100011,Alexandria Poole,HHS/TX/FacilityA/Nursing,Nursing,PCT,Patient Care Tech,Nursing,FT,HHS/TX/FacilityA/Nursing,25.27
E100012,100012,Katherine Mercer,HHS/TX/FacilityA/Nursing,Nursing,PCT,Patient Care Tech,Nursing,FT,HHS/TX/FacilityA/Nursing,44.45
E100013,100013,Lisa Hayes,HHS/TX/FacilityA/Nursing,Nursing,RN,Registered Nurse,Nursing,PT,HHS/TX/FacilityA/Nursing,48.67
E100014,100014,Crystal Burton,HHS/TX/FacilityA/Nursing,Nursing,PCT,Patient Care Tech,Nursing,FT,HHS/TX/FacilityA/Nursing,41.7
E100015,100015,Beth Oconnor,HHS/TX/FacilityA/Nursing,Nursing,PCT,Patient Care Tech,Nursing,PRN,HHS/TX/FacilityA/Nursing,53.97
E100016,100016,Amber Terry,HHS/TX/FacilityA/Nursing,Nursing,PCT,Patient Care Tech,Nursing,FT,HHS/TX/FacilityA/Nursing,43.58
E100017,100017,Melody Berry,HHS/TX/FacilityA/Nursing,Nursing,RN,Registered Nurse,Nursing,PRN,HHS/TX/FacilityA/Nursing,43.81
E100018,100018,Deborah Pitts,HHS/TX/FacilityA/Nursing,Nursing,RN,Registered Nurse,Nursing,PRN,HHS/TX/FacilityA/Nursing,40.28
E100019,100019,Linda Diaz,HHS/TX/FacilityA/Nursing,Nursing,RN,Registered Nurse,Nursing,PT,HHS/TX/FacilityA/Nursing,42.71
E100020,100020,Jordan Bentley,HHS/TX/FacilityA/Nursing,Nursing,PCT,Patient Care Tech,Nursing,PRN,HHS/TX/FacilityA/Nursing,52.08
